timestamps,humidity,temperature,12HrsHighTemp,12HrsHighHumid
1600125369.0,99.9,29.3,1,1
1600125669.0,99.9,29.4,1,1
1600125969.0,99.9,29.5,1,1
1600126269.0,99.9,29.6,1,1
1600126569.0,99.9,29.7,1,1
1600126869.0,99.9,29.8,1,1
1600127169.0,99.9,29.8,1,1
1600127469.0,99.9,29.9,1,1
1600127769.0,99.9,30.0,1,1
1600128069.0,99.9,30.1,1,1
1600128369.0,99.9,30.2,1,1
1600128669.0,99.9,30.0,1,1
1600128969.0,99.9,30.1,1,1
1600129269.0,99.9,30.3,1,1
1600129569.0,99.9,30.5,1,1
1600129869.0,99.9,30.7,1,1
1600130169.0,99.9,30.7,1,1
1600130469.0,99.9,30.7,1,1
1600130769.0,99.9,30.8,1,1
1600131069.0,99.9,30.8,1,1
1600131369.0,99.9,31.0,1,1
1600131669.0,99.9,31.1,1,1
1600131969.0,99.9,30.8,1,1
1600132269.0,99.9,30.3,1,1
1600132569.0,99.9,29.7,1,1
1600132869.0,99.9,29.2,1,1
1600133169.0,99.9,29.1,1,1
1600133469.0,99.9,29.2,1,1
1600133769.0,99.9,29.4,1,1
1600134069.0,99.9,29.5,1,1
1600134369.0,99.9,29.7,1,1
1600134669.0,99.9,30.0,1,1
1600134969.0,99.9,30.2,1,1
1600135269.0,99.9,30.4,1,1
1600135569.0,99.9,30.5,1,1
1600135869.0,99.9,30.6,1,1
1600136169.0,99.9,30.7,1,1
1600136469.0,99.9,30.8,1,1
1600136769.0,99.9,30.8,1,1
1600137069.0,99.9,31.0,1,1
1600137369.0,99.9,31.1,1,1
1600137669.0,99.9,31.2,1,1
1600137969.0,99.9,31.4,1,1
1600138269.0,99.9,31.5,1,1
1600138569.0,99.9,31.6,1,1
1600138869.0,99.9,31.8,1,1
1600139169.0,99.9,31.8,1,1
1600139469.0,99.9,31.8,1,1
1600139769.0,99.4,31.7,1,1
1600140069.0,98.9,31.7,1,1
1600140369.0,99.6,31.8,1,1
1600140669.0,99.9,31.8,1,1
1600140969.0,99.9,32.0,1,1
1600141269.0,99.2,32.1,1,1
1600141569.0,97.9,32.2,1,1
1600141869.0,98.9,32.2,1,1
1600142169.0,99.9,32.2,1,1
1600142469.0,97.9,32.2,1,1
1600142769.0,94.0,32.4,1,1
1600143069.0,94.0,32.5,1,1
1600143369.0,92.1,32.6,1,1
1600143669.0,93.6,32.8,1,1
1600143969.0,92.7,32.8,1,1
1600144269.0,92.2,33.0,1,1
1600144569.0,92.0,33.2,1,1
1600144869.0,92.8,33.3,1,1
1600145169.0,90.2,33.4,1,1
1600145469.0,92.2,33.6,1,1
1600145769.0,89.4,33.6,1,1
1600146069.0,91.3,33.7,1,1
1600146369.0,89.4,33.7,1,1
1600146669.0,85.9,33.7,1,1
1600146969.0,96.1,33.7,1,1
1600147269.0,98.5,33.3,1,1
1600147569.0,99.9,32.7,1,1
1600147869.0,99.9,32.3,1,1
1600148169.0,99.9,32.1,1,1
1600148469.0,99.9,32.0,1,1
1600148769.0,99.9,32.0,1,1
1600149069.0,99.9,31.9,1,1
1600149369.0,99.9,31.933333333333334,1,1
1600149669.0,99.9,31.966666666666665,1,1
1600149969.0,99.9,32.0,1,1
1600150270.0,99.9,32.1,1,1
1600150570.0,99.9,32.3,1,1
1600150870.0,99.9,32.3,1,1
1600151170.0,99.9,32.5,1,1
1600151470.0,99.9,32.6,1,1
1600151770.0,99.0,32.7,1,1
1600152070.0,99.9,32.7,1,1
1600152370.0,96.4,32.7,1,1
1600152670.0,99.9,32.5,1,1
1600152970.0,98.0,32.5,1,1
1600153270.0,99.9,32.4,1,1
1600153570.0,99.9,32.4,1,1
1600153870.0,99.0,32.3,1,1
1600154170.0,99.9,32.3,1,1
1600154470.0,99.7,32.2,1,1
1600154770.0,99.9,32.2,1,1
1600155070.0,99.6,32.1,1,1
1600155370.0,99.9,32.0,1,1
1600155670.0,99.9,32.0,1,1
1600155970.0,99.9,31.9,1,1
1600156270.0,99.9,31.8,1,1
1600156570.0,99.9,31.7,1,1
1600156870.0,99.9,31.6,1,1
1600157170.0,99.3,31.7,1,1
1600157470.0,97.7,32.2,1,1
1600157770.0,95.6,32.6,1,1
1600158070.0,95.5,32.9,1,1
1600158370.0,94.2,33.1,1,1
1600158670.0,93.8,33.1,1,1
1600158970.0,93.3,33.2,1,1
1600159270.0,93.4,33.1,1,1
1600159570.0,93.2,33.0,1,1
1600159870.0,94.2,32.9,1,1
1600160170.0,93.9,32.8,1,1
1600160470.0,93.8,32.7,1,1
1600160770.0,94.2,32.5,1,1
1600161070.0,94.8,32.3,1,1
1600161370.0,96.1,32.1,1,1
1600161670.0,96.4,31.9,1,1
1600161970.0,96.1,31.8,1,1
1600162270.0,97.5,31.5,1,1
1600162570.0,97.9,31.3,1,1
1600162870.0,98.3,31.1,1,1
1600163170.0,99.6,30.8,1,1
1600163470.0,99.9,30.6,1,1
1600163770.0,99.9,30.4,1,1
1600164070.0,99.9,30.2,1,1
1600164370.0,99.9,30.1,1,1
1600164670.0,99.9,30.0,1,1
1600164970.0,99.9,30.0,1,1
1600165270.0,99.9,30.0,1,1
1600165570.0,99.9,30.0,1,1
1600165870.0,99.9,30.0,1,1
1600166170.0,99.9,30.0,1,1
1600166470.0,99.9,29.9,1,1
1600166770.0,99.9,29.9,1,1
1600167070.0,99.9,29.9,1,1
1600167370.0,99.9,29.9,1,1
1600167670.0,99.9,29.9,1,1
1600167970.0,99.9,29.9,1,1
1600168270.0,99.9,29.9,1,1
1600168570.0,99.9,29.9,1,1
1600168870.0,99.9,29.8,1,1
1600169170.0,99.9,29.8,1,1
1600169470.0,99.9,29.8,1,1
1600169770.0,99.9,29.8,1,1
1600170070.0,99.9,29.8,1,1
1600170370.0,99.9,29.8,1,1
1600170670.0,99.9,29.8,1,1
1600170970.0,99.9,29.8,1,1
1600171270.0,99.9,29.7,1,1
1600171570.0,99.9,29.7,1,1
1600171870.0,99.9,29.7,1,1
1600172170.0,99.9,29.7,1,1
1600172470.0,99.9,29.7,1,1
1600172770.0,99.9,29.7,1,1
1600173070.0,99.9,29.7,1,1
1600173370.0,99.9,29.7,1,1
1600173670.0,99.9,29.7,1,1
1600173970.0,99.9,29.7,1,1
1600174270.0,99.9,29.7,1,1
1600174570.0,99.9,29.7,1,1
1600174870.0,99.9,29.6,1,1
